College Code,College Name,Branch Name,Phase,OC Boys,OC Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls,SC Boys,SC Girls,ST Boys,ST Girls,EWS Boys,EWS Girls
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING","Phase 2",29992,29992,103834,103834,59947,60553,29992,83767,60701,60701,103833,103833,111734,111734,70477,103489,53223,53223
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 2",29175,29175,117068,123139,64993,71968,29175,29175,68158,82570,88515,161711,148559,148559,128282,168832,52200,52200
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",35712,45133,144723,144723,100079,100079,35712,45133,80161,94922,157375,157375,169693,170317,162226,174032,67995,67995
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 2",79810,103784,145494,157902,128544,158559,79810,103784,121320,134360,79810,103784,173329,173329,170070,175076,105276,126017
"AARM","AAR MAHAVEER ENGINEERING COLLEGE","MECHANICAL ENGINEERING","Phase 2",39600,39600,128731,164419,163547,163547,124248,124248,123531,160573,163871,163871,167756,179025,166439,166439,39600,136049
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","CIVIL ENGINEERING","Phase 2",80955,99055,135353,162197,119589,119589,80955,99055,94917,105672,143713,144598,169175,174914,168218,173472,111926,111926
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 2",32457,32457,70795,70795,51541,52452,148223,148223,50083,50083,80780,80780,99227,107709,125744,148167,35697,37441
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING","Phase 2",27584,27965,61518,61518,44617,47542,89745,129991,42607,42607,77242,85471,86995,94719,103384,122308,32524,32524
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 2",29862,29862,63685,63685,45445,50046,29862,105104,44625,44625,87888,89407,90148,96823,112785,135130,34646,35282
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","COMPUTER SCIENCE AND ENGINEERING (IOT)","Phase 2",37715,37715,87845,97603,66519,66519,37715,37715,56152,57720,87173,126471,120199,120451,147546,169584,42732,42732
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",37595,37595,86606,86606,48940,66602,63173,63173,61229,61229,84536,88921,122443,126011,136345,168603,46707,46707
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 2",43862,43862,153376,153376,81055,92052,43862,43862,79127,79127,43862,93017,144076,165084,116495,158921,79242,80152
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","INFORMATION TECHNOLOGY","Phase 2",37222,37222,71638,79780,52339,55330,37222,37222,54764,54764,95661,95661,101198,117066,132870,132870,39843,39843
"ACEG","A C E ENGINEERING COLLEGE (AUTONOMOUS)","MECHANICAL ENGINEERING","Phase 2",60813,100014,105181,129840,128798,139524,103409,103409,102369,155283,60813,100014,160692,160692,165440,168075,114752,157461
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","CIVIL ENGINEERING","Phase 2",174217,174217,175037,175037,174719,179163,174217,174217,176852,176852,179253,179253,174217,180072,178308,178655,174217,174217
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 2",72698,72698,119037,159864,113285,118612,72698,72698,105468,105468,72698,160606,166104,166104,171441,171441,87633,87633
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","Phase 2",54180,54180,126363,126363,105635,111186,91184,91184,90323,101065,86020,86020,162900,162900,167811,167811,81523,86508
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 2",88324,88324,157666,164372,116015,116015,88324,88324,100443,101725,110411,132959,165530,165530,168237,168237,90458,90458
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",57655,62625,93327,158381,125519,125519,57655,62625,113499,113499,97211,119289,170073,173152,176995,178024,100432,114148
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 2",48969,48969,159903,159903,143280,143280,48969,48969,48969,161169,48969,48969,170963,173746,178227,178227,137986,137986
"AITH","ANNAMACHARYA INST OF TECHNOLOGY AND SCI","MECHANICAL ENGINEERING","Phase 2",144258,144258,144258,144258,144258,156948,144258,144258,144258,144258,144258,144258,175674,175674,180075,180075,144258,144258
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING","Phase 2",89631,89631,149281,156794,118936,179611,89631,89631,167652,167652,89631,105984,179823,179823,170793,170793,164669,164669
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","CIVIL ENGINEERING","Phase 2",118114,126732,172020,172020,162113,162113,118114,126732,171641,172938,118114,176501,178243,178243,180384,180384,118114,126732
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 2",161769,163584,161769,163584,161769,179915,161769,163584,173901,173901,161769,163584,161769,163584,161769,174129,161769,163584
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","COMPUTER SCIENCE AND ENGINEERING","Phase 2",95816,95816,149602,149602,157663,163218,95816,95816,161142,161142,127985,127985,179789,179789,167081,171055,151744,151744
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",84678,88172,109309,109309,177528,177528,84678,88172,173214,173214,109794,109794,176754,176754,134566,134566,84678,107459
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 2",106045,106045,173731,173731,176900,176900,106045,106045,177100,177100,106045,140658,177060,177060,167571,167571,106045,106045
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","MECHANICAL ENGINEERING","Phase 2",116385,116385,145359,145359,179023,179023,116385,116385,169383,169383,168512,168512,168968,168968,129946,129946,116385,116385
"AKIT","ABDULKALAM INST OF TECHNOLOGY AND SCI","MINING ENGINEERING","Phase 2",100180,100180,171793,176811,167810,167810,100180,174999,152383,152383,100180,100180,169397,173962,169442,176344,100180,100180
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","CIVIL ENGINEERING","Phase 2",70972,70972,70972,70972,70972,70972,70972,70972,70972,70972,70972,70972,179391,179391,168138,168138,70972,70972
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","COMPUTER SCIENCE AND ENGINEERING","Phase 2",43302,43302,132459,132459,97740,97740,51135,51135,78315,81540,48812,48812,165391,165391,173513,173513,81218,92112
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 2",53905,53905,142604,142604,109060,109060,53905,65173,88418,91498,126113,126113,170092,171795,176191,180106,76354,76354
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",66981,66981,155205,159679,146482,146482,93558,93558,119654,119654,150473,150473,176959,176959,180220,180220,114534,115755
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 2",78789,78789,128988,128988,161503,161503,78789,78789,119666,119666,78789,78789,172706,179908,173121,173121,159061,159061
"ANRK","ANURAG ENGINEERING COLLEGE AUTONOMOUS","INFORMATION TECHNOLOGY","Phase 2",95195,95195,156451,158361,138696,138696,95195,95195,106123,106123,145921,145921,176760,176760,178671,179016,109640,109640
"ARJN","ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE","COMPUTER SCIENCE AND ENGINEERING","Phase 2",17855,17855,99899,157922,117329,120796,17855,17855,104644,112889,60409,81067,142748,167470,166324,166324,83425,107385
"ARJN","ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 2",91653,91653,163950,163950,136296,136296,91653,91653,115214,115214,91653,91653,166969,170711,169261,180175,98286,113179
"ARJN","ARJUN COLLEGE OF TECHNOLOGY AND SCIENCE","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",105404,105404,108702,124731,143297,149768,105404,110058,119519,119519,105404,105404,172099,173204,178030,180420,121197,124984
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","CIVIL ENGINEERING","Phase 2",155931,155931,171278,171278,155931,155931,155931,155931,177183,177183,155931,155931,155931,155931,177696,178941,155931,155931
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 2",70103,70103,144925,144925,132679,132729,70103,70103,110841,119195,110161,110161,171382,172494,179141,179828,107785,107785
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","COMPUTER SCIENCE AND ENGINEERING","Phase 2",39738,39738,141510,141510,112666,121938,104424,104424,103180,115999,151509,151509,169621,169621,169035,180097,83065,89804
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 2",75061,100895,90059,139585,132187,135702,75061,100895,110088,110088,91223,100895,170700,172073,179438,179438,94262,100895
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",110250,110250,164329,164329,136342,139384,110250,110250,121109,125679,121764,121764,172248,172643,180184,180332,122928,122928
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 2",106436,106436,106436,106436,149847,149847,106436,147206,131256,149097,153703,153703,174828,178561,175028,175028,143206,143206
"ASRA","AVANTHIS SCIENTIFIC TECH AND RESEARCH ACADEMY","MECHANICAL ENGINEERING","Phase 2",142754,142754,142754,142754,142754,142754,142754,142754,142754,142754,142754,142754,142754,142754,142754,142754,142754,142754
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING","Phase 2",56442,56442,147220,163087,98211,98211,56442,64873,91199,91199,158610,158610,161728,167168,134628,134628,80330,80330
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE","COMPUTER SCIENCE AND ENGINEERING","Phase 2",48141,48141,115489,126923,95560,95560,131219,131219,77646,77646,144963,146690,149192,165380,162900,174614,74384,74384
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",51774,81271,149969,149969,89487,102777,51774,81271,77362,94955,131489,150950,161639,169426,167159,167159,81631,81631
"AURG","AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE","MECHANICAL ENGINEERING","Phase 2",90490,90490,137944,149484,164731,164731,90490,134541,131136,144915,93460,136892,177451,177519,180291,180291,144313,157433
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)","Phase 2",70831,70831,161782,161782,125055,134160,70831,70831,108844,118994,125443,125443,168465,171247,178833,178833,98816,104082
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)","Phase 2",96903,96903,130387,158189,129197,130644,98104,98104,116004,116004,145731,145731,170645,171068,177881,179768,101157,105321
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING","Phase 2",75997,75997,164730,164730,123240,123240,108434,108434,113060,117721,129921,129921,169867,170742,174166,177815,98279,104037
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)","Phase 2",75259,75259,156441,164571,128918,128918,75259,75259,115623,118590,75259,75259,169915,170824,178087,178087,98847,104270
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","ELECTRONICS AND COMMUNICATION ENGINEERING","Phase 2",70943,70943,159747,162449,132522,134317,70943,70943,120237,122792,119034,119034,172031,173304,179441,179441,115150,115150
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","ELECTRICAL AND ELECTRONICS ENGINEERING","Phase 2",100413,100413,100413,133722,161627,161696,100413,100413,134416,134416,100413,100413,173669,176476,174713,176642,125535,125535
"AVIH","AVANTHI INST OF ENGG AND TECHNOLOGY","MECHANICAL ENGINEERING","Phase 2",59689,59689,137337,137337,157595,157595,59689,59689,148452,148452,162228,162228,177931,177931,179019,179019,59689,59689
"AVNI","AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE","Phase 2",40101,65082,147622,147622,89626,99526,40101,100446,88336,94708,158807,158807,165872,169099,171744,175608,76456,76456
