College Code,College Name,Branch Name,OC Boys,OC Girls,EWS Boys,EWS Girls,SC Boys,SC Girls,ST Boys,ST Girls,BC-A Boys,BC-A Girls,BC-B Boys,BC-B Girls,BC-C Boys,BC-C Girls,BC-D Boys,BC-D Girls,BC-E Boys,BC-E Girls
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","COMPUTER SCIENCE AND ENGINEERING",937,1038,956,1497,6858,3693,4417,2799,1209,7260,1278,1234,2284,NA,996,1956,1408,11149
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",1152,1833,1146,2137,7395,8941,7236,9666,2272,5067,1780,2574,NA,NA,1723,2803,3235,NA
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING",1771,1510,1410,2001,11480,20566,14939,12238,4351,5589,2326,2410,NA,11047,2581,2313,4389,9535
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","COMPUTER SCIENCE AND ENGINEERING",1801,2386,1669,3070,18776,15399,13543,18519,5085,8275,2577,3540,6049,NA,2407,4255,3813,7137
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","COMPUTER SCIENCE AND ENGINEERING",1831,2400,1474,3783,10444,8924,11940,9385,4972,8083,3297,2676,6180,NA,3106,3762,2461,6790
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",2256,2757,2193,2802,13516,32021,11922,10123,3654,7437,2901,4449,NA,NA,4165,4641,3822,11841
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",2283,2776,1810,3241,12580,14916,12547,16850,6291,8095,3543,3826,NA,NA,3045,4429,4284,4921
"VASV","VASAVI COLLEGE OF ENGINEERING HYDERABAD","COMPUTER SCIENCE AND ENGINEERING",2302,2781,1958,3534,15723,27223,16835,19823,6475,6862,3652,4294,NA,12354,3448,4179,7206,8424
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",2446,2418,2010,2722,20697,13154,17275,18186,6438,8620,3477,3678,3780,NA,3151,3556,5221,9656
"VASV","VASAVI COLLEGE OF ENGINEERING HYDERABAD","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",2599,2944,2125,3527,22787,20205,20066,20830,6825,9048,3753,4647,17073,NA,3544,4533,7954,10924
"JNTH","JNTUH UNIVERSITY COLLEGE OF ENGG SCI AND TECH HYDERABAD HYDERABAD","ELECTRONICS AND COMMUNICATION ENGINEERING",2862,3042,3323,4455,12369,13502,10965,11586,6465,3996,4020,4012,NA,16481,3747,4969,5704,NA
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",2995,3306,2335,3793,23872,16865,20401,23845,6474,10147,4465,5350,NA,NA,4650,4884,8271,NA
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",3039,3658,3072,4530,13541,13815,14139,12781,8328,NA,4672,5149,NA,NA,4729,5680,6556,10440
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",3202,3706,2401,4345,27794,21259,15389,20017,9690,10558,4068,5488,10875,NA,4350,5781,6801,11499
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING DATA SCIENCE",3256,3261,2344,3702,18457,20180,21186,19594,8076,9049,4110,4528,14380,NA,4254,4353,7714,11022
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","CSE IoT AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY",3481,3807,2614,4746,17724,18868,20072,NA,9301,NA,4929,NA,NA,NA,4759,6162,6673,NA
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING CYBER SECURITY",3507,3864,2535,4081,16085,17194,23739,16549,9399,9831,4920,4965,NA,NA,4696,4872,8355,16404
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND BUSINESS SYSTEM",3829,4590,2845,6330,19190,32112,22281,NA,8059,10192,5997,5763,NA,22068,5415,5074,11842,19828
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING",4317,5022,3451,6189,31530,36611,23565,24876,13887,14854,6111,7398,20443,15010,6183,7102,15204,15754
"CBIT","CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY GANDIPET","INFORMATION TECHNOLOGY",4510,4709,3728,5737,27339,29359,21574,27420,17770,14890,6219,7167,17002,18953,7090,7525,8313,16141
"OUCE","O U COLLEGE OF ENGG HYDERABAD HYDERABAD","ELECTRONICS AND COMMUNICATION ENGINEERING",4694,5457,4791,8941,17690,16093,13843,13179,11100,7882,7266,6762,NA,NA,6646,5938,6562,14394
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","INFORMATION TECHNOLOGY",4768,4750,3695,5365,23746,46771,29934,30788,14004,12712,6184,6757,NA,19132,6540,6337,13132,16477
"VJEC","V N R VIGNANA JYOTHI INSTITUTE OF ENGG AND TECH BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING IOT",4821,4957,3525,5743,20288,17735,24598,29139,11977,14737,6297,6943,NA,NA,5983,6378,10389,17777
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND ENGINEERING ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING",5014,6006,3909,6087,21509,32513,23152,27124,14229,15791,6855,8445,20872,NA,6918,7479,14866,19299
"GRRR","GOKARAJU RANGARAJU INSTITUTE OF ENGG AND TECH AUTONOMOUS BACHUPALLY","COMPUTER SCIENCE AND BUSINESS SYSTEM",5021,8144,4741,8403,46150,29647,29335,36436,16481,22752,9612,12892,25262,NA,9097,10567,17626,NA
